"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,158793.0,1415.0,4638.0,,129590.0,1910.0,24565.0,75.0,110.0,3.0,160000000.0,111163.0,1439323776.0,Asia
USA,81955619.0,32311.0,1010687.0,608.0,66104220.0,129250.0,14840712.0,1734.0,245067.0,3022.0,988292611.0,2955228.0,334421770.0,North America
India,43031958.0,1033.0,521560.0,42.0,42498789.0,1222.0,11609.0,8944.0,30652.0,372.0,792027412.0,564161.0,1403902542.0,Asia
Brazil,30067249.0,27120.0,660782.0,196.0,28942887.0,50534.0,463580.0,8318.0,139704.0,3070.0,63776166.0,296329.0,215220989.0,South America
France,26390471.0,161950.0,142912.0,128.0,23717410.0,101618.0,2530149.0,1541.0,402736.0,2181.0,254106036.0,3877827.0,65527943.0,Europe
Germany,22164060.0,204930.0,131516.0,333.0,17675700.0,268000.0,4356844.0,2494.0,263057.0,1561.0,104701826.0,1242665.0,84255868.0,Europe
UK,21482591.0,47948.0,169095.0,233.0,19406489.0,70143.0,1907007.0,364.0,313550.0,2468.0,508482100.0,7421559.0,68514189.0,Europe
Russia,17940765.0,14661.0,370602.0,291.0,17070642.0,35306.0,499521.0,2300.0,122844.0,2538.0,273400000.0,1872030.0,146044692.0,Europe
Italy,15036470.0,69805.0,160973.0,150.0,13601404.0,69837.0,1274093.0,466.0,249339.0,2669.0,204697383.0,3394356.0,60305218.0,Europe
Turkey,14929905.0,10314.0,98275.0,41.0,14612379.0,14332.0,219251.0,975.0,173730.0,1144.0,155184781.0,1805785.0,85937557.0,Asia
S. Korea,14553644.0,286243.0,18033.0,371.0,,,,1128.0,283438.0,351.0,15804065.0,307790.0,51346910.0,Asia
Spain,11578653.0,,102747.0,,10997681.0,,478225.0,420.0,247478.0,2196.0,471036328.0,10067744.0,46786679.0,Europe
Vietnam,10024806.0,49342.0,42712.0,31.0,8277563.0,130273.0,1704531.0,1577.0,101382.0,432.0,84789075.0,857484.0,98881274.0,Asia
Argentina,9047408.0,2082.0,128144.0,38.0,8874269.0,1611.0,44995.0,466.0,196998.0,2790.0,35535639.0,773754.0,45926289.0,South America
Netherlands,7948142.0,13085.0,22058.0,21.0,6749606.0,64427.0,1176478.0,120.0,462057.0,1282.0,21107399.0,1227056.0,17201659.0,Europe
Iran,7180008.0,4228.0,140451.0,44.0,6900097.0,4136.0,139460.0,1483.0,83599.0,1635.0,49358909.0,574700.0,85886416.0,Asia
Japan,6778235.0,42315.0,28387.0,60.0,6286380.0,40553.0,463468.0,508.0,53883.0,226.0,44088712.0,350482.0,125794456.0,Asia
Colombia,6086811.0,327.0,139687.0,9.0,5919925.0,216.0,27199.0,342.0,117420.0,2695.0,34048606.0,656825.0,51838155.0,South America
Indonesia,6026324.0,2400.0,155464.0,43.0,5788714.0,5415.0,82146.0,2771.0,21629.0,558.0,92754690.0,332910.0,278618099.0,Asia
Poland,5973553.0,1567.0,115472.0,77.0,5333566.0,,524515.0,268.0,158141.0,3057.0,35788005.0,947434.0,37773594.0,Europe
Mexico,5671144.0,4223.0,323318.0,83.0,4970248.0,4408.0,377578.0,4798.0,43186.0,2462.0,15617943.0,118932.0,131318750.0,North America
Ukraine,4977998.0,2161.0,108076.0,35.0,,,,177.0,115042.0,2498.0,19521252.0,451140.0,43270974.0,Europe
Australia,4847725.0,62046.0,6462.0,27.0,4360305.0,67753.0,480958.0,104.0,186300.0,248.0,67214128.0,2583072.0,26021000.0,Australia/Oceania
Malaysia,4280591.0,12105.0,35192.0,32.0,4083183.0,21029.0,162216.0,221.0,129337.0,1063.0,57090261.0,1724971.0,33096363.0,Asia
Israel,3974781.0,7041.0,10555.0,1.0,3894082.0,,70144.0,258.0,426204.0,1132.0,41373364.0,4436346.0,9326000.0,Asia
Austria,3933682.0,21076.0,16097.0,36.0,3674107.0,30517.0,243478.0,226.0,432419.0,1769.0,177765409.0,19541272.0,9096921.0,Europe
Belgium,3905122.0,12483.0,30970.0,31.0,3561316.0,6650.0,312836.0,183.0,334386.0,2652.0,33001012.0,2825798.0,11678474.0,Europe
Czechia,3845630.0,6701.0,39810.0,26.0,3750407.0,2862.0,55413.0,109.0,357934.0,3705.0,54821103.0,5102496.0,10743978.0,Europe
Thailand,3781827.0,24252.0,25700.0,94.0,3508052.0,26225.0,248075.0,1496.0,53942.0,367.0,17270775.0,246343.0,70108510.0,Asia
South Africa,3727208.0,2031.0,100070.0,3.0,3614509.0,821.0,12629.0,546.0,61479.0,1651.0,23971040.0,395394.0,60625704.0,Africa
Philippines,3680236.0,257.0,59422.0,52.0,3588359.0,1375.0,32455.0,289.0,32815.0,530.0,29066768.0,259178.0,112149810.0,Asia
Portugal,3604114.0,,21693.0,,,,,61.0,355283.0,2138.0,40239817.0,3966726.0,10144339.0,Europe
Peru,3549511.0,483.0,212396.0,24.0,,,,417.0,105075.0,6287.0,29002138.0,858540.0,33780766.0,South America
Canada,3535392.0,13639.0,37850.0,78.0,3318094.0,4461.0,179448.0,386.0,92248.0,988.0,59740722.0,1558791.0,38325048.0,North America
Switzerland,3512093.0,,13745.0,5.0,2930765.0,14360.0,567583.0,132.0,400644.0,1568.0,20400357.0,2327184.0,8766111.0,Europe
Chile,3496238.0,4038.0,56822.0,13.0,3145753.0,14103.0,293663.0,499.0,180170.0,2928.0,35850659.0,1847473.0,19405242.0,South America
Greece,3126856.0,12265.0,27892.0,76.0,2872518.0,16164.0,226446.0,358.0,302598.0,2699.0,75619942.0,7318028.0,10333377.0,Europe
Denmark,2927746.0,3000.0,5813.0,15.0,2873033.0,5933.0,48900.0,16.0,502347.0,997.0,126901505.0,21773955.0,5828133.0,Europe
Romania,2866793.0,2320.0,65148.0,19.0,2606660.0,,194985.0,360.0,150791.0,3427.0,22213710.0,1168426.0,19011654.0,Europe
Sweden,2491980.0,819.0,18472.0,,2441012.0,326.0,32496.0,25.0,244068.0,1809.0,18417910.0,1803875.0,10210194.0,Europe
Iraq,2321095.0,289.0,25179.0,1.0,2286233.0,601.0,9683.0,36.0,55513.0,602.0,18373555.0,439438.0,41811513.0,Asia
Serbia,1985085.0,1351.0,15850.0,8.0,1936195.0,,33040.0,27.0,228818.0,1827.0,9262624.0,1067691.0,8675379.0,Europe
Bangladesh,1951903.0,36.0,29123.0,,1886036.0,785.0,36744.0,1283.0,11648.0,174.0,13865462.0,82740.0,167579420.0,Asia
Hungary,1863039.0,2880.0,45647.0,36.0,1720497.0,3229.0,96895.0,49.0,193721.0,4746.0,11168674.0,1161330.0,9617142.0,Europe
Slovakia,1737315.0,5219.0,19482.0,20.0,1637371.0,10365.0,80462.0,170.0,317939.0,3565.0,6939102.0,1269898.0,5464300.0,Europe
Jordan,1689314.0,,14003.0,,1668852.0,,6459.0,276.0,162723.0,1349.0,16575546.0,1596635.0,10381548.0,Asia
Georgia,1650384.0,376.0,16765.0,4.0,1629266.0,234.0,4353.0,,415120.0,4217.0,16498490.0,4149855.0,3975679.0,Asia
Pakistan,1525923.0,148.0,30361.0,,1486464.0,212.0,9098.0,310.0,6680.0,133.0,27633900.0,120966.0,228444473.0,Asia
Ireland,1481171.0,4059.0,6824.0,19.0,1315786.0,2377.0,158561.0,58.0,294179.0,1355.0,11887837.0,2361070.0,5034936.0,Europe
Norway,1412969.0,1419.0,2667.0,,,,,20.0,257095.0,485.0,11002430.0,2001930.0,5495912.0,Europe
Kazakhstan,1305229.0,15.0,13660.0,,1290278.0,170.0,1291.0,528.0,68079.0,712.0,11575012.0,603737.0,19172287.0,Asia
Hong Kong,1180591.0,2777.0,8460.0,111.0,,,,115.0,155257.0,1113.0,44972952.0,5914288.0,7604119.0,Asia
Morocco,1163726.0,70.0,16061.0,,1146942.0,54.0,723.0,293.0,30884.0,426.0,11237010.0,298213.0,37681122.0,Africa
Bulgaria,1143424.0,726.0,36655.0,19.0,935130.0,1290.0,171639.0,165.0,166769.0,5346.0,9661189.0,1409093.0,6856318.0,Europe
Singapore,1123886.0,4467.0,1287.0,3.0,1050649.0,3918.0,71950.0,15.0,189481.0,217.0,23611604.0,3980788.0,5931389.0,Asia
