"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,203334.0,2680.0,4776.0,51.0,169380.0,2982.0,29178.0,274.0,141.0,3.0,160000000.0,111163.0,1439323776.0,Asia
USA,82747175.0,38858.0,1018718.0,186.0,80506860.0,41509.0,1221597.0,1415.0,247359.0,3045.0,1001729381.0,2994507.0,334522343.0,North America
India,43062097.0,2011.0,522223.0,,42523311.0,1970.0,16563.0,698.0,30658.0,372.0,834717702.0,594272.0,1404606308.0,Asia
Brazil,30355919.0,6456.0,662777.0,76.0,29411813.0,27459.0,281329.0,8318.0,140994.0,3078.0,63776166.0,296221.0,215299307.0,South America
France,28317915.0,13984.0,145257.0,197.0,26083461.0,202981.0,2089197.0,1677.0,432101.0,2216.0,266484045.0,4066260.0,65535419.0,Europe
Germany,24227680.0,86980.0,134817.0,171.0,21425200.0,182200.0,2667663.0,1980.0,287502.0,1600.0,122332384.0,1451676.0,84269739.0,Europe
UK,21986881.0,14436.0,173693.0,114.0,20955075.0,172725.0,858113.0,339.0,320823.0,2534.0,514985782.0,7514457.0,68532664.0,Europe
Russia,18144788.0,7651.0,375061.0,159.0,17483483.0,8855.0,286244.0,2300.0,124239.0,2568.0,273400000.0,1871988.0,146047929.0,Europe
S. Korea,16929564.0,34370.0,22243.0,110.0,,,,668.0,329695.0,433.0,15804065.0,307776.0,51349193.0,Asia
Italy,16161748.0,25287.0,162781.0,93.0,14755958.0,26738.0,1243009.0,416.0,268020.0,2699.0,211830644.0,3512910.0,60300620.0,Europe
Turkey,15021151.0,2604.0,98706.0,15.0,14888995.0,18573.0,33450.0,975.0,174696.0,1148.0,158372522.0,1841870.0,85984643.0,Asia
Spain,11821601.0,11855.0,104148.0,80.0,11323230.0,24217.0,394223.0,339.0,252665.0,2226.0,471036328.0,10067543.0,46787616.0,Europe
Vietnam,10611772.0,7445.0,43021.0,8.0,9092760.0,6685.0,1475991.0,664.0,107269.0,435.0,85791014.0,867218.0,98926693.0,Asia
Argentina,9072230.0,,128542.0,,8895999.0,,47689.0,372.0,197446.0,2798.0,35716069.0,777318.0,45947798.0,South America
Netherlands,8040573.0,1356.0,22228.0,7.0,7706644.0,63124.0,311701.0,78.0,467377.0,1292.0,21107399.0,1226916.0,17203621.0,Europe
Japan,7660012.0,38450.0,29308.0,24.0,7178748.0,43345.0,451956.0,191.0,60903.0,233.0,46754605.0,371734.0,125774445.0,Asia
Iran,7217117.0,1077.0,140996.0,21.0,6969470.0,2516.0,106651.0,1031.0,83976.0,1641.0,50862245.0,591819.0,85942224.0,Asia
Colombia,6091551.0,208.0,139780.0,2.0,5925040.0,295.0,26731.0,342.0,117447.0,2695.0,34388490.0,663022.0,51866293.0,South America
Indonesia,6044467.0,317.0,156133.0,33.0,5875083.0,4664.0,13251.0,2771.0,21683.0,560.0,95024563.0,340873.0,278768157.0,Asia
Poland,5991464.0,267.0,115948.0,,5334380.0,6.0,541136.0,1588.0,158624.0,3070.0,36032893.0,953972.0,37771451.0,Europe
Mexico,5733785.0,271.0,324129.0,12.0,5034427.0,535.0,375229.0,4798.0,43640.0,2467.0,15766174.0,119996.0,131389028.0,North America
Australia,5720127.0,30750.0,7002.0,13.0,5353033.0,39811.0,360092.0,132.0,219698.0,269.0,68886938.0,2645798.0,26036353.0,Australia/Oceania
Ukraine,4998517.0,224.0,108329.0,3.0,,,,177.0,115553.0,2504.0,19521252.0,451281.0,43257407.0,Europe
Malaysia,4433551.0,2478.0,35507.0,8.0,4330037.0,9215.0,68007.0,98.0,133872.0,1072.0,58425629.0,1764171.0,33117890.0,Asia
Thailand,4180868.0,14994.0,27902.0,124.0,3978469.0,23524.0,174497.0,1496.0,59627.0,398.0,17270775.0,246312.0,70117577.0,Asia
Austria,4108970.0,4111.0,18054.0,7.0,3998778.0,8918.0,92138.0,124.0,451556.0,1984.0,181910461.0,19991077.0,9099583.0,Europe
Israel,4062278.0,4506.0,10673.0,3.0,4022613.0,13461.0,28992.0,220.0,435586.0,1144.0,41373364.0,4436346.0,9326000.0,Asia
Belgium,4036113.0,2645.0,31382.0,15.0,3739914.0,13457.0,264817.0,156.0,345525.0,2687.0,33531891.0,2870614.0,11681086.0,Europe
