"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
China,128462.0,2228.0,4638.0,2.0,105238.0,614.0,18586.0,31.0,89.0,3.0,160000000.0,111163.0,1439323776.0,Asia
USA,81404135.0,12362.0,997845.0,327.0,62848679.0,199155.0,17557611.0,3214.0,243487.0,2985.0,971320273.0,2905305.0,334326490.0,North America
India,43007841.0,1761.0,516510.0,129.0,42465122.0,3196.0,26209.0,8944.0,30649.0,368.0,782228685.0,557446.0,1403235816.0,Asia
Brazil,29617266.0,40869.0,657157.0,290.0,28183864.0,19960.0,776245.0,8318.0,137661.0,3054.0,63776166.0,296431.0,215146793.0,South America
France,24055877.0,98104.0,140903.0,62.0,22548491.0,42488.0,1366483.0,1695.0,367148.0,2151.0,246629975.0,3764144.0,65520860.0,Europe
UK,20093762.0,,163511.0,,18541447.0,,1388804.0,292.0,293354.0,2387.0,495276718.0,7230667.0,68496687.0,Europe
Germany,18592762.0,168187.0,127408.0,119.0,14448200.0,124700.0,4017154.0,2494.0,220705.0,1512.0,104701826.0,1242859.0,84242727.0,Europe
Russia,17551657.0,32958.0,364058.0,495.0,16135267.0,95558.0,1052332.0,2300.0,120183.0,2493.0,273400000.0,1872069.0,146041625.0,Europe
Turkey,14680836.0,17328.0,97182.0,105.0,14309971.0,18269.0,273683.0,975.0,170920.0,1131.0,150419086.0,1751239.0,85892949.0,Asia
Italy,13801328.0,75173.0,157692.0,85.0,12494968.0,48385.0,1148668.0,471.0,228841.0,2615.0,195342035.0,3238989.0,60309573.0,Europe
Spain,11324637.0,,101703.0,,10571203.0,,651731.0,682.0,242053.0,2174.0,471036328.0,10067936.0,46785791.0,Europe
S. Korea,9038938.0,381329.0,12101.0,319.0,,,,1049.0,176044.0,236.0,15804065.0,307803.0,51344747.0,Asia
Argentina,9006526.0,1697.0,127483.0,44.0,8807979.0,4774.0,71064.0,699.0,196195.0,2777.0,35054019.0,763606.0,45905913.0,South America
Vietnam,7816897.0,175674.0,41817.0,77.0,3991393.0,129434.0,3783687.0,3691.0,79088.0,423.0,82654443.0,836260.0,98838245.0,Asia
Netherlands,7476574.0,41456.0,21785.0,11.0,5941464.0,56359.0,1513325.0,154.0,434690.0,1267.0,21107399.0,1227189.0,17199799.0,Europe
Iran,7139217.0,1323.0,139550.0,72.0,6817172.0,5167.0,182495.0,2082.0,83175.0,1626.0,48534882.0,565454.0,85833545.0,Asia
Colombia,6080589.0,693.0,139434.0,19.0,5912996.0,842.0,28159.0,342.0,117360.0,2691.0,33662028.0,649702.0,51811498.0,South America
Japan,6016206.0,49210.0,26919.0,155.0,5460249.0,58638.0,529038.0,983.0,47818.0,214.0,41855859.0,332682.0,125813414.0,Asia
Indonesia,5956561.0,7951.0,153599.0,188.0,5573228.0,24008.0,229734.0,2771.0,21390.0,552.0,90310576.0,324303.0,278475940.0,Asia
Poland,5885444.0,10377.0,114206.0,119.0,5227909.0,4569.0,543329.0,425.0,155800.0,3023.0,34983809.0,926095.0,37775625.0,Europe
Mexico,5629814.0,4860.0,321931.0,125.0,4922781.0,4851.0,385102.0,4798.0,42893.0,2453.0,15430608.0,117565.0,131252171.0,North America
Ukraine,4928032.0,,107477.0,,,,,177.0,113854.0,2483.0,19521252.0,451006.0,43283828.0,Europe
Malaysia,3974019.0,22341.0,34329.0,85.0,3656415.0,33347.0,283275.0,390.0,120148.0,1038.0,53426484.0,1615266.0,33075969.0,Asia
Australia,3863112.0,46479.0,5721.0,27.0,3500347.0,28138.0,357044.0,86.0,148544.0,220.0,65203967.0,2507223.0,26006454.0,Australia/Oceania
Israel,3758955.0,7906.0,10419.0,2.0,3704937.0,6146.0,43599.0,326.0,403062.0,1117.0,41373364.0,4436346.0,9326000.0,Asia
Czechia,3733114.0,8705.0,39357.0,15.0,3617913.0,9564.0,75844.0,133.0,347493.0,3664.0,54355892.0,5059655.0,10743004.0,Europe
Belgium,3707561.0,11502.0,30529.0,19.0,3442505.0,12696.0,234527.0,181.0,317537.0,2615.0,32372165.0,2772539.0,11675999.0,Europe
South Africa,3703329.0,1287.0,99879.0,11.0,3588264.0,1119.0,15186.0,546.0,61122.0,1648.0,23569125.0,389001.0,60588931.0,Africa
Philippines,3673717.0,525.0,58023.0,24.0,3570355.0,644.0,45339.0,289.0,32778.0,518.0,28672696.0,255828.0,112078073.0,Asia
Peru,3540793.0,685.0,211814.0,63.0,,,,605.0,104887.0,6274.0,28199031.0,835325.0,33758172.0,South America
Portugal,3458727.0,,21408.0,,,,,66.0,340903.0,2110.0,37805639.0,3726238.0,10145794.0,Europe
Austria,3429011.0,41999.0,15387.0,43.0,2963825.0,37407.0,449799.0,203.0,377047.0,1692.0,170281200.0,18723746.0,9094398.0,Europe
Canada,3396426.0,2078.0,37166.0,16.0,3238323.0,1704.0,120937.0,510.0,88659.0,970.0,58924697.0,1538151.0,38308791.0,North America
Chile,3382506.0,13182.0,44440.0,101.0,2705002.0,37485.0,633064.0,795.0,174381.0,2291.0,34610427.0,1784302.0,19397181.0,South America
Thailand,3328973.0,25804.0,24165.0,87.0,3067292.0,18801.0,237516.0,687.0,47489.0,345.0,17270775.0,246374.0,70099920.0,Asia
Switzerland,3253776.0,,13467.0,,2610682.0,,629627.0,146.0,371308.0,1537.0,19698846.0,2247956.0,8763003.0,Europe
Denmark,2856182.0,6012.0,5375.0,37.0,2711990.0,14893.0,138817.0,27.0,490152.0,922.0,126512719.0,21710972.0,5827133.0,Europe
Romania,2813798.0,3168.0,64673.0,39.0,2606660.0,,142465.0,463.0,147955.0,3401.0,21740974.0,1143183.0,19017931.0,Europe
Greece,2776192.0,19705.0,26893.0,46.0,2490264.0,8584.0,259035.0,349.0,268598.0,2602.0,70971049.0,6866482.0,10335868.0,Europe
Sweden,2475687.0,,18020.0,,2400581.0,,57086.0,42.0,242546.0,1765.0,18342988.0,1797081.0,10207103.0,Europe
Iraq,2315791.0,218.0,25127.0,3.0,2272463.0,666.0,18201.0,71.0,55445.0,602.0,18225916.0,436371.0,41767016.0,Asia
Serbia,1953897.0,1868.0,15676.0,14.0,1898199.0,2871.0,40022.0,46.0,225179.0,1807.0,9017559.0,1039236.0,8677102.0,Europe
Bangladesh,1950527.0,62.0,29114.0,,1869634.0,1014.0,51779.0,1264.0,11645.0,174.0,13709153.0,81846.0,167498789.0,Asia
Hungary,1824089.0,,44961.0,,1672699.0,,106429.0,90.0,189647.0,4675.0,10975485.0,1141099.0,9618344.0,Europe
Jordan,1680179.0,,13959.0,,1647266.0,,18954.0,694.0,161920.0,1345.0,16499905.0,1590112.0,10376570.0,Asia
Georgia,1641399.0,849.0,16643.0,13.0,1596779.0,1855.0,27977.0,,412821.0,4186.0,16180964.0,4069604.0,3976054.0,Asia
Slovakia,1627836.0,9386.0,19093.0,20.0,1484235.0,9892.0,124508.0,207.0,297911.0,3494.0,6707798.0,1227597.0,5464171.0,Europe
Pakistan,1521513.0,696.0,30328.0,2.0,1475473.0,1857.0,15712.0,503.0,6666.0,133.0,27112283.0,118792.0,228233184.0,Asia
Norway,1378238.0,1999.0,2169.0,,,,,20.0,250870.0,395.0,9852076.0,1793298.0,5493830.0,Europe
Ireland,1365467.0,,6638.0,,1248933.0,,109896.0,44.0,271345.0,1319.0,11577799.0,2300732.0,5032224.0,Europe
Kazakhstan,1304818.0,51.0,13653.0,,1283715.0,864.0,7450.0,528.0,68097.0,713.0,11575012.0,604085.0,19161244.0,Asia
Morocco,1162444.0,70.0,16051.0,1.0,1145789.0,59.0,604.0,293.0,30867.0,426.0,11237010.0,298384.0,37659611.0,Africa
Bulgaria,1123714.0,919.0,36272.0,6.0,894368.0,518.0,193074.0,255.0,163834.0,5288.0,9462253.0,1379563.0,6858875.0,Europe
Lebanon,1087835.0,448.0,10243.0,6.0,1024966.0,5205.0,52626.0,186.0,160611.0,1512.0,4795578.0,708033.0,6773103.0,Asia
Croatia,1083111.0,1775.0,15425.0,15.0,1056384.0,1644.0,11302.0,42.0,266650.0,3797.0,4618113.0,1136930.0,4061914.0,Europe
Cuba,1080686.0,833.0,8506.0,2.0,1069121.0,590.0,3059.0,23.0,95511.0,752.0,12920253.0,1141892.0,11314777.0,North America
